product_name,sku
72V RAWRR MANTIS MOTOR,02-13-ZJ01
72V RAWRR MANTIS MOTOR OIL PLUG,02-13-10
MANTIS X MOTOR SPROCKET SECOND VERSION,02-02-13-10
RAWRR MANTIS BRAKE DISC,02-09-01
RAWRR MANTIS BRAKE PADS BRACKET,02-99-02
Rawrr Mantis Dash Bracket,02-06-ZJ02
Rawrr Mantis Left Foot Peg Assembly Black,02-01-ZJ02
RAWRR MANTIS MINI BRAKE PADS BRACKET,03-07-06
RAWRR MANTIS MINI R/R17 CHAIN SLIDER ASSEMBLY,03-05-ZJ08
RAWRR MANTIS MINI R/R17 FRONT SHOCK BEARING ASSEMBLY,03-01-ZJ06
RAWRR MANTIS MINI R/R17 FRONT WHEEL SPACER ASSEMBLY,04-02-ZJ10
RAWRR MANTIS MINI R/R17 HEADLIGHT (NUMBER PLATE) BRACKET,03-01-05
RAWRR MANTIS MINI R/R17 REAR WHEEL SPACER ASSEMBLY,04-02-ZJ11
RAWRR MANTIS MOTOR COVER,02-11-17
RAWRR MANTIS REAR BRAKE ASSEMBLY,02-08-02
RAWRR MANTIS X PRO BATTERY,05-06-01
RAWRR MANTIS X PRO BRAKE PADS BRACKET,05-99-02
RAWRR MANTIS X PRO FRONT SHOCK FENDER ASSEMBLY,05-02-ZJ02
RAWRR MANTIS X PRO HEADLIGHT BRACKET,05-06-08
RAWRR MANTIS X PRO OEM DECAL,05-06-99
RAWRR MANTIS X PRO REAR TIRE,05-04-ZJ02
RAWRR MANTIS X PRO REAR WHEEL ASSEMBLY,05-04-ZJ01
